,post,age,gender
269,"first home meet against woodbridge today. i got first in my race! (800m) it was pretty cool. i was scared though because i couldnt hear/see anyone during the race, so i had no idea how i was doing or if anyone was near me. but hey, it worked out.",17,male
270,"Fly home to California for my first visit since I had moved to New York. Although I had not been away for all that long, I was over excited to go home and see everyone. When I arrived home, there was another surprise visitor at the house, DAD!!! On the 13th we went to Casey’s promotion, and Ryan’s High School graduation. On the 14th I threw Michelle, one of my best frineds from High School,her Bridal Shower, and on the 15th, Father’s day, I spent quality time with my family, tiling the upstairs! Then it was back to NY!",24,female
271,"so i was cleaning out my booklet of cds and found in there, some of my old skewl cds that i used to listen to alot to remind me of my parents, of home, of certain times and certain people who have been important (in either negative or positive way) in my life .. like, take for example .. MODERN TALKING .. hehe.. for those who dont know what the heck this is, modern talking is some 80s band that my dad loves, and probably still does and we used to travel from Kuantan to KL listening to these kinds of songs .. visiting mom .. those years of long ago .. he used to make us listen to BONEY M too, and after a few rebellious fights about not wanting to listen to some big haired, big braided group of singing weirdos ... we had to succumb to dad's choice simply because it was his car and he was driving .. so that began the whole journey of into dad's head of sing-a-long songs .. =) it makes me smile every time i listen to the two cds, not because i like them, it's because the songs remind me of simpler times of being loved by only your parents and not having to deal with the outside world.  come to think about it, life really was a whole lot simpler then.. i mean yeah ive had crushes and ive rebelled a lot to get to those crushes (countless myriads of british boys in my early teenhood, regardless) but those crushes and so called ""first loves"" have no bearing upon the two big ones that i have had in my young adulthood. in fact, the first one i had just before this one, seemed a lot simpler than the one i have now .. i dont know what it is, perhaps the fact that im a certain awkward age and that i have been burned down once, or perhaps that we are living together, makes it feel a whole lot more ... not burdensome, but weighs a whole lot more.e  simpler times of puppy love reminds me of whitney houston songs .. omg .. i used to come home after school (go Limehurst High!) at the age of 13, dream about a certain hazel-eyed, brunette young man by the name of Paul R. and wish he would stop staring at my fair haired best friend, Sarah and concentrate on the more awkward looking, trying to blend in Malaysian girl, who just started school ..   then there was Stuart F., my first ""real"" boyfriend, age 14. haha, this one is funny .. i had to try going out with him three times before i could settle down with the idea that we are a couple.. it just seemed so wrong, and he was such a scrawny blonde haired, blue eyed, true Aryan boy... i have him to thank for, for the many kissing moves that i have .. haha.. as if i had more than one :p   then there were those hunks that didn't quite look like hunks when they were in junior high but at the end of junior high into middle school, blossomed into the hunkiest of all hunks .. i shared my fantasy and dreams with one of my best friends from england, because we BOTH liked this guy (if you are reading this and recognize who you are, remember those times? when we drooled and fought on who should sit next to him on the bus? hehe) ... the boy in question is no other than Andrew P., also known as PONCHO (dont ask, i dont know)... i remembered in 8th grade, he used to sit across from me in MISSUS MADDOCK's class in Maths, and stare at me and try to get my attention in so many ways .. even Graham said he had a crush on me, but Ponch was such an awkward kid back then.. his hair wasn't properly cut, and he just had a whole lot of baby fat on him still, hehe we used to pinch his love handles to drive him mad ..   .... and THEN ....  come 9th grade, he freaking turned into a HOTTIE .. and not to mention 10th grade in Burleigh Comm. College, he was like, wreaking fermones or sth and all these girls would flock to him, sighing and swooning .. it was kinda cute .. at that time though, i had other crushes already, too many to even list down here .. they were all white boys, needless to say (i think i like my white men, what can i say) .. lets see shall we .. if i listed them all you will die of shock but this is quite fun to reminisce:  1. Paul Rycroft 2. Stuart Freer 3. i think i kinda like Adam Freer too, hehe 4. Andrew Pycroft 5. Mark Adkin 6. Adam Fairweather (more Shazz's thing but he was damned cute) 7. Adam Roper 8. Johnny sth, couldnt remember his last name 9. Lee .. err ... sth he was cute but he became my best friend for a whilee 10. Nikki sth, i just thought he was adorable, but like, about a foot shorter than i was hehe  those are the only ones i remember .. mind you the only one i dated out of all of those crushes was Stuart, for like, 6 months or something, i think, before he dumped me to go after my best friend .. i swear, all the dumpings have been painful for me .. but watever ...   then i came home, and had crushes on a few malay men, but gave up on those and came back to the US to get me another hot white american .. well, after i got me a somewhat decent looking malaysian men who claims to be a chicagoan (hehe just kidding!!! you are oh-so-hot! :p)  ROFL  alrite, time for me to leave this playground and go to another one, that is ASP.NET... *sigh* i wish my prof could speak real english, his sounds too guttural to be understood properly.",24,female
272,"OMG Bubbles just pointed out to me how long I have been blogging! It's OVER a year.. It has just flown by.. I went back just now and read my very first post and I have to say it really is a surprise that I still update it at all.. I usually get distracted and wander off much sooner..   Here is my very first blog : urlLink Midgets Rock : ""Welcome to my Blog.. As with most things I will probably post rampantly to this thing for the next month then completely forget that I have it ;)   By the way, most of my posts will be done through a haze of alcohol.. please feel free to ignore everything I say..""",25,male
273,"Today's top story:  Man discovers life does not stink. It has been revealed that the stench that was thought to be emanating from life was in fact coming from the world. When asked about this recent discovery, man replies ""The world has indeed stunk for many years, tests that were performed earlier show that man just gotten used to the smell.""  In other news, man continues to bitch and complain like a baby on his blog. More on that after weather and sports.   SONG OF THE DAY  Queens of the Stone Age - Never Say Never",26,male
274,"From an e-mail from my brother:  ""Take it easy you aids filled puss bag of shit and rotted bannana cream pie, with a dallop of unwashed pussy juice.""",24,male
275,"Josh gave me permission through an email to do this. I know what I said and at first, it seems hypocritical. Think what you want but I think I'm being fair and respectful.    That's all for tonight Josh. I'm going to leave this for you and I'll continue my thoughts soon. In the meantime, enjoy the summer. That goes for the rest of the Local Cafe. Keep on rockin in the free world!",16,male
276,"I'm in Vancouver for a few days, visiting friends and all..it's been great fun, and I'm enjoying missing school, and being spoiled. I've also done someone's homework for them. I can't sleep, the migraine put me out today, so I'm wiiiide awake..I'm up to 4 extra strength tylenol to try and stop it. Too bad it isnt working.  I've been hanging out with an old friend, past love lately. And a feeling I thought had gone away looong ago are coming back. And I can almost feel that he feels the same way too. But I'm stuck. Last time, I felt the flame extinguish, and the love die, and we separated. I hated that. I still do. I was such a horrible person, and if this guy reads this, then I'm apologizing. I'm so lost though, as to what to do.   Feelings for a lot of ex-somethings are coming back, and for some reason I'm scrambling to get all my friends back. Maybe I'm getting paranoid again. Maybe I just don't want to be alone. I dont know and I wish I did.   35 days till winnipeg. Maybe I'll be something.  I dont want to grow old alone, I dont want to grow old, end my pain now and gooooo......",17,female
277,"It is called  Scary Shit . Let me know what you think of it!   Scary Shit   by Amanda   It was dark out, and it was raining. A young, big-breasted woman named Candie Barr was hanging out alone by the pool in her backyard. She was very rich.  ""I think I'm going to take my clothes off and skinny dip in my pool,"" she said to herself. She took off her clothes and jumped into the pool. Little did she know, a man with a knife was watching her from the shadows.  ""I feel like I'm being watched,"" Candie said, once again talking to herself.  ""That's because I'm watching you,"" said Man With The Knife.  ""Oh, well then that makes sense!"" Candie said ditzyly. But then she realized she was talking to a man with a knife in his hand. ""Oh noes!"" she screamed, covering up her enormous breasts with her arms. ""Are you going to kill me?""  ""Yes,"" said Man With The Knife.  ""Crap!"" said Candie. She got out of the pool and walked over to Man With The Knife. ""Please don't kill me!"" she pleaded.  Man With The Knife ignored her, and stabbed her until she was dead.    THE END   Watch for the sequal, coming soon.",24,female
278,"Someone Egged the car again!  ok this is beginning to piss me off, im going to camp out there with a paintball gun and pelt the fuckers, this is really getting on my nerves and for once in a long time i bear someone some serious ill will.",24,male
279,"Today...  Shocked off my ass! Dont know what to say...  Nip - *Japanese accent* ""Hav yoo finishd tha boys changing room?"" D - yes, nearly... Nip ""Oh, ok, well in that case, you go do New Sports Hall"" D - ooo-kkkk..... Nip - I hope you clean as well as you did yesterday  What the...?  I must have cleaned a lot better than I thought, I'm no longer being punished, I'm not under solitary confinement anymore!! He must have been impressed....  Woo... well, today went an awful lot better than I expected thanks to all that. Bit of a high-note on my otherwise fricking fantastic life..      Oh, another thing. I'm stuck speaking in a Scottish accent... dont quite know why, but I am... hope no ones pissed off by it yet.      Laterz   Dxx",17,male
280,"Oh Lord, I have made you a place in my heart among the rags and the bones and the dirt. There's piles of lies, the love gone from her eyes, and old moving boxes full of hurt. Pull up a chair by the trouble and care. I got whiskey, you're welcome to some. Oh Lord, I have made you a place in my heart, but I don't reckon you're gonna come.  I've tried to fix up the place, I know it's a disgrace, you get used to it after a while - with the flood and the drought and old pals hanging out with their IOU's and their smiles. bare naked women keep coming in and they dance like you wouldn't believe. Oh Lord, I have made you a place in my heart, so take a good look - and then leave.  Oh Lord, why does the Fall get colder each year? Lord, why can't I learn to love? Lord, if you made me, it's easy to see that you all make mistakes up above. But if I open the door, you will know I'm poor and my secrets are all that I own. Oh Lord, I have made you a place in my heart and I hope that you leave it alone.  -Greg Brown  Yup.",24,female
281,"On your mark, get ready, set.... GOOOO!!!!!...  Oh how the streets on Montreal have become race tracks. Everyone....  ok maybe not everyone, but 90% of the people in Montreal do not know how to drive safely.Ok, people can say thatthe streets are not fit for good drivers....I mean with all the murder holes, or should I say pot-holeson the streets to ambush these war or assassins' vehiclethat we call cars, are all there to serve as obstacles to ""test"" the driver's skills and verify that the driver is alert at all time...Oh how much I must saythanks to the government of Quebec for public funding to repair the streets...How they always repair that stupid same highway from years to years...(15 on the Decarie level, anyone?) but never repairs some of the streets. Then, to add more problems, well there's the number of lanes in the streets and highways...What's wrong with those engineers....2 lanes.....need I say more...What kind of big city have 2 freakin' lanes at highway interchanges...Turcot interchange(where the 20 meets the 720 and the 15), or how about those freakin' bridge like the Champlain bridge...With a population of about 3.3 Millions in the metropolitan area of Montreal, you would think that engineers would think about making the number of lanes more than freakin' 2 lanes....Ok, so this being said, traffic is really bad in Montreal   To make things worst, as if that wasn't enough..There's the people....YES the PEOPLE. Awww Montreal, where the city speed limit is only a suggestion. Now you would think that with all thedespicable road conditions, people would actually be more careful or drive slower...Guess again, how stupidpeople can sometimes be, is truly amazing. People think that their racing against freakin' Micheal Schumacher...and I don't mean just the people driving regular cars...I mean everyone in Montreal!!! Even bus drivers...Oh don't get me started with them...Some of themhavea donkey's behindattitude with the intelligence of a brain obtained from a box of Cracker Jack...Where do they get these bus driver...So to show you an example of the ""excellent"" service on the37 circuit,here is an example...And it happens quite frequently...Not just once and a while..I meanalmost everyday frequent....   First, as I wait for the bus at the bus stop, well it can be sometimes really hot, really cold, rainy or snowy depending onthe weather. So as I'm waiting,the buses from the 37 circuit is either too early, or too late...But when you come in a bit late..They never wait for you, and actually drives a lil slower so the drivercan wave their hand and say Bye. Or if they want to be on time, they hurry to arrive early, and they let the bus at the stop so that the chauffeur can have his or her break...away from the bus...so, instead of letting the people in, they let the people stay outside in the bad weather and the chauffeur always go back in the warmth somewhere unknown where all decent or not chauffeur go during breaks. Ok, so after letting the people stay in the bad weather, they let everyone in and show how they have power and control the almighty bus by demonstrating their cantankerous behavior. But hey, it can be understandable..I mean you're driving all day, making about 60k a year, with lots of benefits, and overtime, and you get to be on strike for any reasons paralyzing the whole population using public transportation, oh and you have to deal with people sometimes...Life can be soo hard for them :P...anywhooo..as i wait there to ring the bell to stop just before my stop, i ring the bell...i look around in the bus to see how many people will get out....There's about 5-10 people in the bus but none except me that wants to get out, nothing the driver can't handle.....So as I wait to get out in front of the doors, the drivers starts to accelerate..Then I'm like err WTF,why drive so fast when the stop is only about 100 meters away. Well I start waving, and quickly saw that it was not very effective, so  ......Then as I give the WTF stare and watch the bus driver through the mirror, he doesn't mind me.....So as I walk up the alley to the main entrance of the bus and go to the driver and tell him  me: hey I don't mean to be rude, but you missed my stop...  Bus Driver: oh, did I?(pretending to care) oh I'm sooo sorry....well I just didn't see you nor the stop....  me: yeah it's ok (thinking yeah right Jack A**, you couldn't hear the bell, couldn't see the bus stop sign, and didn't bother looking in your mirror)  B. D.: oh well I guess I could let you out here..(meanwhile he's still driving)  me: yeah here would be nice...(if you really meant it, why didn't you stop before saying it)  ok so this is one of the many examples that reflect the attitude of the people driving in Montreal..FASTER is better....now, picture and imaginethis, imagine a bigger scale of those kind of people, but all driving on the highway or on the streets....hogging thelanes as if the street belong to them. Cause most of them think that because they pay taxes, the street is rightfully theirs since it comes from THEIR money....So you see, people, drive fast..say on average 120 when the speed limit is 70, occasionally cut people cause there just soo many drivers..that people driving fast tend to driver even faster...cause it's not a race, but they don't want to be stuck behind in the so-called traffic, oh and did I mention that we had to dodge the pot-holes, now adding to this, you have the small number of lanes serving a big population of cars...which in the end gives you...a big nightmare...  BTW, it's not just bus drivers..even the ""special"" people from those ""special Olympics"" do that too...the other day I saw2 physically challenged..or should I say freaksin a wheel chair racing on the side street on those electric wheel chair... >.  i'm not saying that when i drive, i'm a safe and perfect driver...but geez..PEOPLE use your comon sense......we're bound to go down as a society....",23,male
282,"I don't understand how a person can break another person's heart, one of which has already been broken several times. i guess the pain takes a deeper cut than before, and then the wound would take longer to heal. I don't understand how I can continue on with my life this way, with all these negative thoughts filling up my mind and only adding confusion to my heart. I don't know why I hold on when I know everything is just wrong and I don't deserve to be treated this way. I'm better than that, and I know that one day everything will be brighter for me.  I never stopped hoping for things to go back to the way they were, but that feeling of hope is slowly fading away with my desperation and sadness. I don't know why I'm still crying and why I still hurt. Every night I'd pray that one day I'll wake up and forget that anything has ever happened. Sigh all I've been wanting is to feel complete happiness..even for just a minute.  You know how you think things are going to end up throughout the day? Then again, you know deep inside that nothing is perfect. So even if that moment even comes close to being described to 'perfect', it never really is. I've never been that good at lying, I'm a bad liar. I can admit to that, so most of the time I try to avoid situations that would make me lie. Maybe the better word for it is 'bending the truth'.   Everytime he looks into my eyes and asks me if I'm alright.. he has no idea how much it hurts just looking at him that way. Every day my heart is breaking more because I know, I know more than ever, that everytime I tell him that I love him.. he wants to believe me, but he can't. He wants things to go the way it should, but we both know that it really can't. Not with the way things are going right now.. not with all the interventions and the pain I keep feeling in my heart.   Life is like a song. Everything seemed so perfect.. it is too good to last. I should have known better, but I guess I was being too hopeful. I should have learnt my lesson years ago, because it has happened once. Look at it now. There's a cut in my heart, and the memories are engraved into my soul. I should have known..   I'm trying so hard not to cry right now.",17,female
283,"[EDIT - and here's the rest of the post :P - Jim]   Hmmmmmmmmmmmmm . You know what? I can tell you something. Three words plus some dots (I do recall someone else who uses dots a lot :|):    STEAM SUCKS... BADLY   Yes, all 1.6GB of it. Funny the way it takes up more RAM than the Windows kernel itself. Also, weapons are ""reversed"", so any old 1.5 models you wanted to converted either has to be mirrored (have to use Milkshape which i can;t be bothered) or the models appear on the left hand although it says clearly in the options menu:   weapons: right handed  >:(  Also due to the fact none of the hosting options work, or/and STEAM has generated 29 error reports in 2 hours of playing >:((",15,male
284,"....and was a  urlLink little more thought-intensive , but fear not: the blog that brought you  urlLink low-rider commentary ,  urlLink caffeinated delusions , and  urlLink Paris Hilton and the umpa-loompas , is still here.  Hey, I guess I'm breaking rule #3 now....this is becoming the Ed Sullivan Internet Variety Hour.     So, to my vast legions of readers, all six of you, welcome.",26,male
285,"buss my gun for the ones i  love...  wutup kids.  toolz of the trade...next song...i think im donating my liver to phil.  no biggie. i got you.  haha.  ey listen up, cuz i got a story to tell/ i smoked so much weed, i dont even got one fukin brain cell/  haha. jus messin around peeoples.  exit exam = i could wipe my ass with it, and still pass that shit.  ozamba destroyed one half of the headphones, which means either me or phil cant listen.  fukin ozamba  song of the day - immortal technique - ""peruvian coccaine""  ""dance with the devil""  lyrics - yours truly akA hAvOk i commit verbal murder, you wont eeven know who did it/ its gin be like al qaeda's use of argentinian terrorists  they ban the truth, but i smuggle it in illegally/ hold your tongues, cuz it becomes a sin to speak in me//  no one believes in me, so instinctively i dissapear/ sold my soul to the devil, so i cant even shed a tear/  reality is unclear, like dirt in a soldiers eyes/ but not as unclear as his decision to destroy lives//  it seems society thrives, on our surplus of oil/ soldiers say their innocent, and my blood begins to boil/  our choices are not wise,  im gettin tired of these lies/ stare into the eyes of an Iraqi child, while his mother dies//  power is precious.  its rare.  when you got it, cherish that shit...cuz you wont have it for long  words are deceitful, so till next time  keep it prophecized.  obey propaganda my children.",15,male
286,Home sick from school today.  To add to it my mentor teacher is out today as well.  So we had to actually get a lesson plan over to the sub real fast.  Forgot to mention that some of my students send me on of those Candy-grams they had for valentines day fundraiser.  How sweet.  Time to go back so sleep.,23,female
287,"Just this once.....   To all my friends enjoying a 4 day weekend.................... HAPPY THANKSGIVING!!!!!!!!!!!   See y'all Monday morning, bright and early!",26,female
288,"good day, strangly enough. I've been dizzy for the majority of it, but I started to feel better after the tofurkey. Poor carolyn, missing out on the tofurkey... (heehee, I think ben almost lost his on the way back =-o) *ACHOO!!!*   excuse me.  /-\|3>",16,female
289,"So, I was thinking tonight, as I lied on the couch staring at the imperfections in the paint no the ceiling, what would I do if a foreign country, as opposed to a domestic one, declared war on the US and landed on it's beaches and started razing our cities and raping our women and the like? Would I leave and go to a neutral country and wait it out? Would I fight for my homeland? Would I fight for the other side? And in trying to answer all these questions, I had to ask myself ""What does America mean to me?"" meaning why do I love it? Do I even love it? Is it the land, the people, or the philosophy or the ideals or a little bit of all that makes me so attached to the place? And of course, what makes me not want to move to any other place, even after taking into consideration all the flaws in this country?  I came to the following conclusion, I would fight for my country, but not because any president or leader me so, but because I'd be fighting for something more than just an individual. I'd be fighting for an idea, no matter how poorly US keeps to it now, that you are nothing if not free to express and think what you want. It's kind of like how that guy, I forget his name, but he said something to the effect of ""I may disagree with what you say, but I respect it and will die for your right to say that."" So, yeah, I'd fight for my country despite it's flaws because the ideals are great, not necessarily the individuals we have in place now.  In conclusion, I'm not afraid to fight and die for something, I'm just very skeptical about what is worth such an expense.  I love The United States of America, forever my home.  That is all. -- Feanor",16,male
290,"Wow. It's been so long since I posted that the posting format at BlogSpot has changed. I apologize for my lack of interest in this blog, and I assure you that there will be much writing in the next few weeks. Right now I'm in Colorado, which is the most beautiful state I've seen so far. I could move here and be happy, I'm sure of it. What's not to love about mountains in the distance and wide open spaces? I'm here with my mom and my sister Jacqui, visiting my other sister Katy, and it's been an extraordinary week of talking, reconnecting, and recharging. Three babies, four women, and a lot of laughter. I'm completely smitten with my nephew Isaac and my niece Emma. Despite all that, I'm ready to go home and sleep in my own bed. More details later because tomorrow we're getting up to catch an early flight.",25,female
291,"Much cuter than Disneyland. Much shorter lines. Most of the park was reasonably cool and shady even though it was 90 degrees on Saturday. Unfortunately it has many fewer princesses and much less cool souvenir stuff to buy than Disney. I’m in love. Although, I think it’s definitely a place for women and children. None of the rides are scary, and it’s awful cutesy. Probably, the only one who reads this blog who will love the park is Meli (if you haven’t seen it, go, go now!).    For those of you who haven’t bothered going to the website.  urlLink www.bonfantegardens.com  Bonfante gardens is a theme park with an agricultural theme. The main/ first attraction was the circus trees which are really a bunch of trees grafted together to make shapes and stuff. Michael Bonfante made them himself, was the only one who knew how, and took the secret with him to his grave. This makes him a big jerk! And I don’t like him, I hope he’s spinning in his grave about the fact that paramount is running his park and selling their crappy souvenirs.  The kiddie ride part of the park is equally great. Most of the rides are food themed: artichoke, strawberry, apple, banana, garlic, mushroom… and unlike every other theme park in existence that makes all of their rides shiny like a carousel horse, many of these rides were matte. And they had very much attention to detail. Fine lines, shading. The artichokes even had the little pointy tip debossed and painted. It is also the first theme park that I’ve noticed artichokes being sold, granted they were deep fried, but still impossible to imagine being anywhere else. They had a pedal boat attraction, but of course it wasn’t a regular pedal boat, they were duck pedal boats. There were mallards, yellow ducks and swans and they looked so ridiculously adorable floating around the pond.   The strangest part about the park was the total laid back California attitude. You could pretty much do whatever and nazi teenagers wearing leiderhosen or old fashioned dresses weren’t around to stop you. They didn’t offer any instructions on how to drive the pedal boat ducks, they just slapped you in a life vest and sent you on your ducky way. The park was so uncrowded that most of the rides all you had to do was wait for the current cycle to finish and you’d get right on. They made sure you were safe and that your belts and bars were all correct, but somehow it seemed to be more laid back, and that made it run more smoothly. The only thing they were picky about was the 1 adult per strawberry car limit. Even though two of us could have more than safely been under the weight limit. And the words “please keep you hands and arms inside the car at all times” were heard so very little, it was refreshing.   Another great thing about the park is that there is a small mid-way section with games and over half of them involve you winning a prize just for paying your $3. This is how we almost ended up with a car full of stuffed toys, but last second managed to talk ourselves out of it. We did, however, come home with velvety plush roses with a bendy stem.   Conclusion: go, go, GO!",24,female
292,"-fear- morning smiles like the face of a newborn child innocent unknowing winter's end promises of a long lost friend speaks to me of comfort but I fear I have nothing to give I have so much to lose here in this lonely place tangled up in your embrace there's there's nothing I'd like better than to fall but I fear I have nothing to give wind in time rapes the flower trembling on the vine and nothing yields to shelter from above they say temptation will destroy our love the never ending hunger but I fear I have nothing to give I have so much to lose here in this lonely place tangled up in our embrace there's nothing I'd like better than to fall but I fear I have nothing to give I have so much to lose I have nothing to give we have so much to lose...     yeah, i feel kinda shitty right now.",16,female
293,1. Econ/ Gov.    SAW 2. Expo Comp.   DGD 3. Band 3          KJM 4. Lunch 5. Gym      TMC 6. AP Calc BC    KLL 7. Psychology 1  CLD 8. Biology 2   JSC   yay senior year!!,17,male
294,"im back, im blonde....again, im happy my life is looking better finally, everything has brightened up at school, the girls pretty much feel at my feet and kissed my ass until i said that it was ok...that was fun. im on holiday now, and i dont know why im writting when no one looks on it anyway :P should go gotta better things to do anyway! :)",17,female
295,"Sounds like you guys had a good time at Grand Master Flash. We definitely had a much quieter weekend.   I was very disappointed Thursday night. We lost, I did my toe again and didn't go to see Krush. I went to the doctor instead. So the night ended up costing me $110. $50 for 2 tickets and $60 for the doctor visit. It wasn't too bad I guess, I think the universe is telling me to slow down. I had to work the next day anyway and Krush will come here again... maybe in 2008. On Friday night I found that I had lost my CD with heaps of mp3s on it, felt disappointed for a while.   Spent more money on the weekend. I've got to control my spending. With the jerseys, bball, movies etc I've really gone off the rails. Matrix was good though. We have a theory but won't spoil it for the others that haven't watched yet. Talk about it later. I too missed the trailer for the 3rd movie. Will go to watch it again. Also saw DOnnie Darko and Ghost Ship. I though Donnie Darko was a really good film. Definitely creepy in parts. The guy who plays Donnie is also in Bubble Boy and Fresh says that I kinda look like him. Anyway what do you guys think happened. Did Donnie see a future timeline in the instant he woke up and choose to stay in bed or did he in fact go back in time to change history. One thing that doesn't make sense is the engine. The engine is the item which changes the space time continuum. If Donnie died by being hit by the engine, where did the plane come from. The plane doesn't fly out for another month. So the wormhole is still there. could it be that this timeline will revert again at the end of the month and begin again. Forming a loop. Anyway how !@#$ing creepy was the rabbit. Maybe the story isn't so strightforward and its an allegory for another idea. What do you guys think.  I also spent far too much time playing Emperor: Rise of the Middle Kingdom. I tell you what, you let people out from under your thumb and they attack. Like Machiavelli says people don't rebel when the hammer is all the way down. The rebelling city states will soon taste my wrath.",27,female
296,Hey allz i jus dont know what the crap is goin on i hope its jus she doesn't feel up to talkin to me in person yet if not i dont know cause its seriously startin to worry me im tryin to figure out if she doesn't even wanna be my friend any more and i dont know if i could really take that cause i really wanna be a good friend to her and ive jus tried talkin to her at a couple diff. times today and she wouldn't say ne thing or she would say very lil im hopin its jus her feelin its awkward to talk to me yet which i feel the same way but im tryin to get that away from us but i dont know u guys today at school the day was ok i guess ive jus been worryin about that all day tho! ive already slept in a class! my 5th period! lol! they were goin over that stupid handbook and i fell asleep it was really good sleep too! believe me! lol! but yeah! well tomm. im goin to CWBC with Josh! were sick of our church and their bullcrap so were leavin! well ill post later maybe or jus tomm after school before church! i dont know yet! l8erz Brent,16,male
297,"Interesting article....  but human beings are  urlLink not rodents.  (I'd glad to see that the researchers seem more aware of this than the reporter, and dismiss the idea of gene therapy for cheating hearts.)   Link courtesy of  urlLink Crosswalk.com .",34,female
298,"twice in one day! i decided that it's high time to start seriously considering where i'm going to send my phd applications and start requesting information and application packages from those schools.  i remember all too well the chaotic hell that accompanied the process of applying for my ma.  trust me, i don't want to repeat it.  besides application deadlines seem to be getting earlier and earlier each year.  i'm also kind of worried that the same thing that happened in my ma applications will happen again: that i will neither have a choice where i go nor will i receive funding.  i realize it's kind of a silly fear, but i was told throughout my undergraduate year that (1) any school would be lucky to have me; (2) i should have no problem getting scholarship money.  neither of those predictions came true, and, although i'm happy at my current home -- or, at least, i think i'm in the right place, at least for now -- it was a blow (to both my confidence and to my debt load -- already too high) to receive only one offer of admission and no offers of funding.  besides, the words of a friend of mine keep echoing in my mind: that i've gotten my grades because i've given professors what they want to hear.  i'm not sure that's the case; at least i haven't tried to give profs what they want to hear, but the perception that that is a possibility worries me: if one of my closest friends here thinks so, who else does, and what are the people i'm not so close to saying about me behind my back. oh, screw this.  enough paranoid ranting for one day.",23,female
299,"I just lived through the second hurricane of my adult life. In the first one, I was living in DC. It was 1999, and I blacked out in my apartment, so I had to go to Georgetown Medical Center for observation. My boyfriend at the time wanted me to come out to his place to ride out the hurricane. We had a huge fight since my mother wanted me to go to my uncle’s house in Maryland. I preferred staying with the boyfriend, but I did not want to worry my folks more than I already was worrying them. So off to the wilds of Northern Maryland I went. I don’t remember much, except that when I returned to campus, there were tree branches everywhere.  This time around, the hurricane missed us. It went up the gulf coast, and all we got was one storm at one-thirty in the morning on Friday morning. It was an amazing sight to watch. I was completely awe-struck by the power of nature. Still, it was just a really harsh storm and not the actual hurricane.  I did not see the fall-out of the hurricane until yesterday. My father and I went to a Muslim wedding. It was my father’s first Muslim wedding, and my second. The wedding was that of a cousin of mine…of sorts.  The true family connection is through the husbands of two of my aunts. These men are first cousins to the groom’s father. The family raised their children Hindu, but the groom had become a Muslim.  On our way to the wedding, my father and I conversed about my life. We talked about relationships, my siblings and my sister’s impending arrival in South Florida. I had been expecting cautionary tales, warning me not to turn out like my siblings. I get those about once a month from him. Instead, thanks in part to a mix tape with  Shania Twain  and  10000 Maniacs  on it, we made it to the wedding with no tears, and a few laughs.  I had never been at a wedding before, where I was afraid to talk to the men. I guess afraid is the wrong word. I was uncomfortable speaking with them. I offered my hand to the groom when I first arrived, and he refused it because I was a woman. I had dealt with that before, but usually with men of Arab decent and they are a lot more gracious about it. They understand that in the US men and women shake hands upon meeting each other. This guy looked insulted that I had offered him my hand.  I spent the wedding talking to the bride’s parents: a nice American couple from the Fort Myers area. They were having a hard time dealing with their daughter’s newfound faith in Islam. Still they were there to support her and her decision to marry a man she had met on the Internet.  Most of Fort Myers had no electricity or running water, including the mosque where the wedding was taking place. Before the wedding, my dad and I went to  Publix  to get a soda. The supermarket was crowded with people, but we were warned as we came in that there was no frozen food, produce or refrigerated items. So we enjoyed a warm coke and drove to the mosque.  The Imam was two hours late. This was the first wedding I ever attended where the reception occurred before the wedding. Everyone was roasting in the heat, since the interior of the mosque was even hotter than outside. There I sat, in heavy emerald green silk with tons of gold embroidery, feeling like I was the wicked witch of the west. The phrase, “I’m melting! I’m melting!” barely even covered the way I felt.  All around us were broken tree limbs and other debris. If I had not seen the intersections without signal lights, and the fact that even taco bell was closed, I would have thought that they had just experienced a bad thunderstorm. I saw some interesting angles for photographs, but realized the wedding party did not have a photographer. I used film on them instead.  Finally, the Imam showed up. He claimed he was late because he was stuck behind President Bush’s motorcade. They held the ceremony outdoors, so we didn’t die of heat stroke. If they had held it inside, I would have had to sit separately than my father. Since it was outdoors, we were allowed to sit together.  It was weird. In the other Muslim ceremony I witnessed, the bride opted to represent herself before God. In other words, she said her own vows. In this ceremony, the bride asked another gentleman from the mosque to recite her vows. So instead of the bride and groom holding hands, the groom clasped hands with this man, and the bride sat to the side looking a bit lost.  The ceremony itself was ten minutes. At the end of it, my father and I said our goodbyes and hopped into the car. I drove, and sped all the way to the other side of the state. On our way home, we stopped for barbecue. I ordered pork. I guess I’m never gonna be a good Muslim.",26,female
300,"Unlaid off   Jen reports on being "" urlLink unlaid off ."" I have learned one big thing... one shouldn't wait for something like this to happen to get you working on things you have always thought about doing. Good point.",34,male
301,"dont worry about calling me at 11, this summer i havent gone tobed till like 1 am. i love summer. we missed my wisdom teeth consultation this morning (my mom sort of forgot, which is okay becasue i was still asleep) so we're going tomorrow. [whimper] i dont want to get them out. man, phil of the future is kind of growing on me. wonder why.",15,female
302,urlLink Apocalypse made easy  A top-secret U.S. government scenario for the aftermath of nuclear war reveals something truly scary -- cockeyed optimism.,42,male
