heading,post
"
					Pat on the back
				","

							I would like to say, for all of you that make it your job to save someone from suicide, how human of you! You have little resources stopping suicide over the internet, but you do it any way. You take it as your personal job, to let that one person that came here for help, know he is not alone and to guide him back onto his path. When I watch the world around me, I sometimes only see the  negative things around me, but when I come here I see the good, the possibilities.  If someone says there is no more good in the world, remind them of these posts here, let them read the next 1000 posts on this site. This is another great example of how great the human race is and what we could possibly be.  Everyone pulling together and caring more about another human being and giving your time and your support and your advice and your empathy, it makes a difference. I just want to say thank you, I have something to live up to.


"
"
					Numb
				","

							I woke up this morning to a phone call from my old high school. I graduated this last year, so I was really confused why they would be calling me. I guess this morning a really close friend of mine committed suicide by swallowing handfuls of over-the-counter Tylenol and Ibuprofen and the guidance counselors were going through her cell phone and calling all the contacts."
"
					i need some help....
				","

							i have a history of depression, self harm, and attempts of suicide.. thought i'd give a little background there.."
"
					Life sucks and am planning to go to god
				","

							people I'm useless can't get a job , can't get a g/f , had a fight with someone on the tube broke his jaw and nose and he barged me."
"
					Threats in an LDR
				","

							I'm in a long-distance relationship, which is challenging enough without any added stress, but my girlfriend lately (and with increasing frequency) has said she'd kill herself if we ever broke up. I try to bring the discussion back around to how we both should want to respond to the demise of our relationship, if it ever came to that, but that suicide threats have no place on the table. I asked her if she'd want to be in a relationship in which I stayed more out of fear than out of love, and she said, ""I don't care. If you can't have me, no one will."" I've never been involved with anyone who said such things - nor do I have a lot of experience with depression or other mental-health concerns. Are there any effective strategies for dealing with this?


"
"
					My goals,are ""impossible"" to achieve,suicide is the only way??
				","

							Well,I dont even know how to write this down ."
"
					im sick and tired of being alone
				","

							i can't take it anymore. i've had it. "
"
					A lost friend
				","

							I guess the only place to start is at the beginning, I come from a family of drunks, my parents were alcos and so were my relos anyway in 5th class in school I met this girl named Leanne and she was really kind to me and she used to share her colouring pencils and textas with me and I have never forgotten her and how kind she was and now I'm like 48, when I was 16 I was in the main street of the city where I lived and out of no where she was there in front of me, she kept turning to look at me and all that and all I ing did was stand there, I was so shy, I missed her enormously when she moved away but for the short time I knew her she left me with a lasting impression, if a 11 or 12 year old could really love someone I loved her but was to shy to tell her how I felt."
"
					It's done!
				","

							Loose ends all tied up. "
"
					Cant see a reason to go on.
				","

							If you do not see a future for yourself and can’t escape the mistakes of the past is there any point in continuing?


"
"
					why should I bother anymore?
				","

							I havent had any friends after the age of 11. "
"
					Lost it all
				","

							Lost it all in a span of one yr...my law school career, my health ( dormant herpes has now activated to show it's ugly head just as I embark on a wonderful relationship) i have nothing now. I am nobody now. No man will want me. My dreams of happily ever after were just within reach. How cruel life can be.


"
"
					being bashed by everyone except from my son
				","

							my lady and i recently broke up.  I am very hurt but I am hiding it with a fake smile.  She was my first everything and I am lost if she was the best i will ever get.  I ask myself everyday if another lady would want to treat me better.  "
"
					No turning back
				","

							I've made up my mind. I may even blame myself for not carrying out the inevitable later down the track because I know that things can only get worse. I have zero self esteem and it shows up overtly whenever I talk . I appeared foolish when i tried to talk to people and no one will ever take me seriously. I can never achieve anything in life be in work or in a relationship. I was stupid enough for a female colic to take me on an emotional roller coaster ride. I have never forgiven myself for falling into her manipulative trap and I have put myself in a damn awkard position in the office. I do not wish to see her face.


"
"
					Major depression - dilemma
				","

							To make a long story short:"
"
					The fallout of suicide
				","

							I just found out my brother killed himself.  He borrowed a friend's car on Father's Day and never came back.  They just found him  in a ravine - he shot himself.  He left behind parents, sisters, kids, grandkids.  He's led a very troubled life.  I want do-overs and I can't have them.  Rest in peace, brother.  You are gone, but won't ever be forgotten.  I will see you in Heaven some day.  I'm sorry you wouldn't or couldn't come to me for help.


"
,"

							Don't know what advice I'm really after. I feel like I'm drowning in quicksand, and the more I struggle to get out, the deeper I sink."
"
					doing what they keep telling me..
				","

							I don't usually join forums, but I have nowhere else to go, and I have nobody to speak to about this."
"
					i am alone
				","

							i know igo to sleep havin taken many ibuprofen pills in the hope i dont wake up .i cut my self in hope one day ill go too far but no one would notice ,its sad looking up your friends on facebook and seeing their successful lives, i have two notes ready i know where and when i read the lovly bones or watch what dreams become i think there is a better place,its gotta be better than this no freinds ,family that dont care and only call when they want something,wish id never been born.i gave up drinking after the first attempt and even after that no one bothered i know its up to me to get help but my doctors a pratt who id like to punch and if no one else cares why should i?


"
"
					no more
				","

							my last near miss was the closest ant most serious yet"
"
					please help me.
				","

							well there are a couple of things i have issues with but ill keep it as short as possible."
"
					demonic epiphany
				","

							Im at the end"
"
					Suicial thoughts about appearance
				","

							I'm really beginning to lose hope as to ever developing a proper sexual relationship with a girl. I feel so goddamn ugly and rejected, like i'm damaged goods or my face was a birth defect. Nobody ever wanted to go out with me, and people on the internet keep telling me I'm ""average."" Who really wants ""average"" anyway? Can I pretty much just forget about ever having love at this point? How come all my friends are able to do it, but I can't?"
"
					Am I suicidal?
				","

							I know that sounds like a really weird question."
"
					Ive had enough
				","

							No matter how hard I try I just can't attract anyone "
"
					Up down, all around, it's useless.. no.. I'm useless
				","

							I used to be worth something. I used to be worth a lot. The bullying and abuse knocked me down. The rest of life tore me down. "
"
					Does anyone know where andi8172 lives?
				","

							Im feeling desperate, I dont know what else to say to him, please help me.


"
"
					everythings going wrong
				","

							not like anyone really cares anway but this time its no more bull****, im leaving this world for good. everything in my life is going wrong, everything is starting to slowly decline, everything is starting to get worse. its all over. im giving it tuesday. nothing ever goes right anymore. i could list more than 50 reasons."
"
					*Pfft*, why not? Don't care anymore...
				","

							hThis post is specifying that i don't care anymore. But, i must if i'm taking the time to write."
"
					I cant gain control over my life
				","

							I cant gain control over my life, I cant cope with losing my girl 7 months ago. I cant seem to find work after applying at over 50 jobs going to 4 interviews. I cant take out a loan to live off, my car is about to break down. She said needs needs time to get over her ex that left her over 2 years ago but its been 7 months since she broke it off. "
,"

							This is a place where people come for advice, for help, for anything and everything. Everyday there are people out there contemplating suicide, thinking about leaving this world for the “next one”, praying that life might hold some miracle, some hope, some dream for them to stay alive, some reason to stay.....anything they can cling onto. Sometimes they find something or someone. Sometimes they don’t. Sometimes they’re left floundering in the cold, in the dark, unable to break through, but wishing someone out there understood. That someone knew, that could relate, that lived through it and gave life a chance. This thread is for those people. To offer you some hope, some light, something........some reason to keep going, to keep looking towards that glimmer of light. To keep hoping. To keep searching. To keep going. "
"
					worst day of my life 1 year ago.
				","

							okay, I know many people will probably ignore this,as there have been so many posts on suicide recently, and obviously they take a lot of empathy and emotional wellbeing out of those trying to help. But I need to post."
"
					I need to get away
				","

							I feel that I need to get away. Take myself out of my home environment, travel, go somewhere. However, I also feel that if I take this time to reflect and try to fix myself, I will get even more lonely and depressed. I feel that no one is able to help me but myself. I have been living this way for almost 2 years. I need a divine intervention. I pray to God and go to church every week, yet I am still in this whole. I have the urge to just pack up and go to the beach and live out of my car for a few days, just to know I can survive... I just want to take off somewhere and get the he!! out of dodge! I do have a therapist appt next week, but it's not going to change anything...


"
"
					im to tired now
				","

							my body aches.. my heart hurts.. its that empty hollow cold broken feeling... "
"
					Not willing to hold out much longer
				","

							When I was 18, I decided that if I wasn't able to enjoy my life by the time I reached my mid-20s, I would end it.  Right now, I'm reaching that point, and I'm fairly certain that 2009 will mark the end of my life."
"
					Feeling hollow, lost, alone
				","

							I feel like this could technically go several places, but considering the subject, I decided it ought to go here. Please bear with me; I may make this overlong. I am terrible about getting to the point."
,"

							i dont sleep"
"
					Suicide is Painless
				","

							Hello"
"
					farewell
				","

							well the voyage begins in about 6 hours, why im even bothering to come on here i dont really know. i guess i have no one else to talk about this to. firstly, some of you have been very helpful over these last few months, i thank you deeply for that. others, people like ""bugbug"" have given me abuse (yes, it happens even on a suicide forum). all i can say to those people is, thanks for pushing me that one step closer and giving me yet more reasons."
"
					I want help and my parents won't let me
				","

							I am 17 years old and I have been suicidal since thirteen.  The feelings are so bad now, I feel as if I should be in the hospital, but my parents won't let me do anything, not even a hotline.  They say that since if I do anything I'll end up in the hospital, which is what I want, but they claim they can't afford it, but I know for a fact that it's only a couple hundred for two weeks, and they make ten times that in the same period!  "
"
					Need help...
				","

							I've decide criate one account out here because I know I'm not the only with suicidal problemas and the people will anderstand what I say..."
"
					wow
				","

							I'm alive. I don't freakin believe it. You'd think a 3 phase could supply enough amps to kill, but it just knocked me out for a couple days and burned the heck out of me. God damn. Anyway, it hurts to type.


"
"
					I am going to kill myself if I can't find a release...
				","

							I need to get away, just drive and take some time to myself. I don't have much money and no family. I was thinking of going to a beach somewhere, but don't know if I can do it. Are there any things I could do to just get away from here and spend some time to myself somewhere? I can't stay at a friend's house because no one has time for me. I need to remove myself from my surroundings and judgmental people and just start new.


"
"
					How do you tell a friend you're not ok?
				","

							My friend doesn't realize how bad I'm really feeling. I think sometimes, she doesn't know how to be here for me. I'm just not ok right now, and I really need to see her. I haven't seen her in over a week, so it's not like I'm being selfish... I told her I had a really bad night last night, that my mom hurt me bad, and I said I would really like to see her today... I really want to tell her I don't want to live anymore, but I'm not going to. I think it would make me feel better to just see her maybe meet for dinner and have a drink or something. She told me she is at a conference and will text me back... I know she can't read my mind, so I'm trying not to hang on every minute she's not available. I don't want to seem desperate, but I also need to reach out to her and make her realize that I need her right now. How do I tell her I'm scared, that I need her support and that I need her to meet me somewhere? I just need to be with someone right now... I don't want to scare her away... I don't need much, just for her to listen and to be able to be with her for a bit.


"
"
					I'm not sure.
				","

							Well, I don't know if anyone can help.  I've basically wanted to die for over 10 years now.  I can't say that I'm depressed.  I'm pretty happy, really.  I'm 39, I'm dating a model 10 years younger than me.  She's beautiful.  Last year I went around the world, saw so many things.  I've had an incredible life.  Everyone I love is still alive, and cares about me deeply.  No deaths in the family, really.  I was married for 10 years, one of the best in the world in what I do.  Now I'm on disability, so I get paid pretty good money to do whatever I want.  Which I do so many different things.  Socialize, have fun.  I have a huge support system of people who really care about me.  I really care about them too.  Anyway, for the past 10 years or so I've been pushing people away, and at the same time I've been making amends.  I'm pushing my girlfriend away right now.  I pushed my wife away.  I've pushed away the people who love me.  Not outright.  Just by making sure everything is even, clean slate.  Then I make it up in my head that they are all bad people.  Which they aren't.  I accuse them of things they didn't do.  Anyway, I don't think that I'm doing that because I'm crazy.  I think that I'm doing it because I want to die.  Which I do.  Maybe I am crazy.  But, I want to die.  Basically I just don't want to be here anymore.  I don't want any lose ends when I go though.  I guess that I'm just not happy, in my life I've gotten and done everything I've ever wanted to do or get.  I'm still not happy.  I still just want to go away, vanish.   I've tried every psych med out there.  I've had electroshock.  Nothing helps.  I'm not whining, I'm not being a Primadonna.  I just don't want to be here anymore.  I do everything you are supposed to do, it doesn't help.  I've tried everything.  I'm actually getting close to a point now where I could consider everything in order.  I don't know.  I've thought about changing careers, doing something else.  I've tried a lot of different things.  Maybe being a musician?  I'm horrible at that, maybe it would be a challenge?  I don't know.  I'm not really sure.  I've been trying so many things.  I still am not happy.  I think that 'not happy'  really isn't the description I'm looking for, because that implies sad.  I just don't see any reason to stay around.  Maybe I am sad right this minute, but most of the time I'm not.  Still, always, I'm on track for sewing things up and keeping things even.  I guess that inside I'm always sad.  I just don't know why.  Maybe I'm just paranoid delusional.  Maybe thats whats making me sad.  I don't think so though.  I think that I'm keeping everyone away because I want to die.  I'm so confused.  I've been to so many doctors, on so many medications.  Nothing helps.


"
"
					What are ways to kill yourself quickly
				","

							if you don't have a gun or anything to overdose with?


"
"
					I make a mess of everything and over it.
				","

							Hey guys"
"
					I don't know whether I can cope with life...
				","

							I posted on this site earlier about my doubts about going to college. People gave me some advice but deep inside of me...I wasn't convinced."
"
					I want go.
				","

							I have always loved nature, travel, art, dance etc... but those things cost money and we don't have alot of it, I am very close with nature and I never get tired of traveling, infact it drives me up the wall to stay in the same place but cause my mothers sick I get to go pretty much no where and I'm always in this small apartment and I bearly ever get go for long walks cause of my grandma thinking I'll get kidnapped and by law I have to a parent with me from 9am to 3pm (some where around that time) I have no friends to go with me, mostly cause the kids around here arnt the best people to hang out with so I'm pretty much a loner but that dosent bug me, it's just that the things I love more then my own life have been taken away and the only hope I can find anymore is my dog, I just want to travel and be myself but at my age with a sick mother and an old grandma and they both hate going anywhere, I'm stuck here, I would run off and join the circus if I could but theirs no where for me to go.


"
"
					yesterday
				","

							Hi"
"
					Nothing anymore
				","

							Latly it just feels like theirs no hope for anything when im a person whos always been happy until a few years ago and even then it was not this bad..."
"
					I don't think i'll make it...
				","

							I have never thought of suicide before...until now.  I have had so much crap thrown my way this year.  Starting with the most horribly painful break up and my father suddenly dying almost 4 months ago.  Everyone else is married or getting married, having babies or finished having babies...i feel like like is flying past me and i'll never catch up.  I feel like i have no fight left in me.  "
,"

							"
"
					One good reason.
				","

							Give me a good reason not to shoot myself in the head."
"
					Why do most people seem to spontaneously stop being suicidal as soon as their teen years are over?
				","

							I seem to have missed that particular boat."
"
					quick and painless
				","

							I cant stop hurting, I need a quick and painless death. I lost my girl about 6 months ago and its never stopped hurting. I left town a few days ago which she knew about and today just told me she loves me and wants me to come back be with her and be safe but now im thinking its just a con, i i havent seen her yet. and now i just did something really bad and its a matter of time before im found and put in jail for 15+ years. My life fell apart and keeps falling apart. I just wanted to see my friend i didnt think it was a felony. im tried of the hell im in I just want it to go away, a week ago I went on the wrong side of the road and challenged an 18 wheeler, the only thing that stopped me was the though of everyone talking about it, since then I decided im better off going into the mountains of KY where I wont be found for 50 years and by then thell be nothing left plus ill just be missing not dead. ill never feel for another girl again and ill never be free."
,"

							Hello all, i understand almost everyone on this planet has at one point in time imagined or thought about their ending. "
"
					Had enough of you all
				","

							making my life one long misery, yes im talking about you society. I wanna try and somehow vent my anger by typing this. who am i trying to talk to, its society, you stink. Everyday, i go through enough, pain and anguish. But oh no, you all like piling it on, as you go about your boring mundane lives, not caring about you you hurt or upset. People, or should i say humans have reached a thin line with me. Im sick of you all. Daily i struggle with Many disorders, exhausting debilitating ones, such as Schizophrenia, OCD, bipolar. But i always find people couldnt care less about how they hurt you. Regulaly, i get called wierdo, ugly, creep, freak, loser, crazy, every sterotypical, ignorant name you can think of. So here i am, with my final message to you all,"
"
					No further forward
				","

							It's been some weeks since I posted in this section and I have been mostly absent from this forum since then while I have tried to work through things."
,"

							I have been wanting to kill myself for 13 years. i promised myself i wouldn't do it until i was 42, but even on anti-depressants and sleeping medicines, i still wish I could do it now. i have been on several different drugs but i dream too much. that's what plagues me. i dream of the past constantly. it's horrifying. I wake up screaming, crying, sweating; you name it, i've woken up with it. i've even woken up sweating and shivering. i apparently move a lot cuz my mattress is always about a foot from where it should be but in a sleep study i was completely still. "
"
					me again, life sucks
				","

							sorry if you people think i post to much but i really need help."
"
					suicidal anyone?
				","

							I wanted to share my story and maybe it will help others who are suicidal. "
"
					Worth a Shot.
				","

							So, i guess the reason I am here in the first place, is I am thinking of suicide. Now before you judge me, this is not a cry for help, nor is it a reach for attention. Theirs just a certain safety and anonymity in posting on a random thread, lost in the sea of the inter webs. Almost like a dirty little secret that no one i know in real life knows about. But all of you reading this do."
"
					I just want the pain to go away
				","

							I just want this numbness, this pain, this bleeding inside, to end. Life is getting worse, the days are getting longer, the nights colder. Then end is no where in sight. What is the point of waking up day after day to a boyfriend who hates me, a mother who I constantly disappoint, a brother who hates everything about me? I feel enslaved, opressed by this world. And I'm exhausted. I just want to sleep, but I just lay in bed, chest tight with anxiety, stomach twisted in nervous knots, mind cluttered with a whirlwind of swirling emotions. I just want to die. I live on the 29th floor. my dad killed himself 8 years ago when I was 13. Why can't I just jump and end this pain?


"
"
					Struggling.
				","

							I have had a pretty up and down couple of months and now i am really struggling to find any hope in my future. This is the closest I have ever been to ending it."
"
					I've had enough
				","

							Hi everyone I'm new here."
"
					Please pray for me
				","

							For those who are religious please pray for me that I will have quick painless death soon.


"
"
					I'm just kinda lost...
				","

							I'm not really sure what I'm looking for...I typed into google ""I don't want to kill myself"" and I found this site. Truth is, I don't want to kill myself in anyway, but some times I want to disappear. I don't want to exist anymore."
"
					I don't know where else to turn
				","

							I've been feeling like this (Hopeless, worthless, helpless) for maybe about 3 years, maybe 2. I was in an emotional abusive relationship, and I think that was the start of these feelings, because before then, I didn't feel anything like that. I was a relatively happy young adult. "
"
					given up and need some peace
				","

							hi i don't really know how to start this off but my depression started about 6 yrs ago.. i don't know why or how i think even as a teen i had problems fitting in and i never really had anyone to talk to.. it started affecting my studies and pretty soon i was really overwhelmed ... i was so stressed to the point that i took 25 tylenol pills and ended up in the hospital i had to stay for 3 days until i was evaluated by a psychiatrist... i graduated high school  doin pretty well but then i decided to go pursue a law degree and about 2 yrs ago the depression resurfaced.. cause i never really dealt with my issues i just buried myself in studying and spent most of my time alone tryin to avoid people because of the shame of what i did."
"
					Reasoning and Method?
				","

							I feel like there are many reasons why I should kill myself. First off, and most importantly, I am in an insane amount of debt that I will probably not be able to pay off for a really long time. The main thing that bothers me about this is that I haven’t enjoyed my life for the most part for the last 10 years, yet I’m going to be paying for all the  *  *  *  *  I did for the next 20. It doesn’t feel worth it to me. Secondly, while I know Aaron(my boyfriend) loves me, I feel as if I am a burden upon him. I am always depressed and have a hard time enjoying myself  doing anything. He was right when he said I will probably never be happy. And all the more reason I need to stop bringing him down. I wish I could talk to him about how empty I feel but every time I do I get the same “I’m going to break up with you if you don’t cut this  *  *  *  *  out” speech. So now I’m scared to say anything for fear I will loose him, the only thing in my life that I have left. But for the most part it is excruciating to deal with these feelings. I have trouble sleeping every night and I usually get up and cry in the other room so Aaron doesn’t hear me. I know that I cry too much, but I feel so depressed. He basically thinks that I just cry to get attention and to make myself look like a victim. I’m not a victim, I’m just not a worthwhile person. I have spent many years trying to find ways to be ok with myself, yet I’m still worthless to me and everyone who knows me. Which is very few people. The only person I have a real relationship with is Aaron, and the rest of my family I have absolutely no emotional connection to and just visit them out of obligation, as I’m sure they do the same.  I used to think, well at least I’m decent looking, but now I’m just a fat ugly woman. I’ve gained 70lbs since I stopped taking Ritalin and I feel so discouraged that I will never have a normal body again. I used to love sex but now I feel so fat an unattractive that I have a hard time enjoying myself while doing it. I have to imagine myself as someone pretty and desirable. Since I just learned that if I die, student loan debt does not transfer to the next of kin, I have nothing really stopping me from killing myself. Of course there are issues with doing so. First off, how to do it. I’ve tried drugs and they don’t work, I just end up sick and look stupid. Cutting myself obviously doesn’t work since I sliced my hand in half and I still didn’t die. I’m thinking of gassing myself in my car in the garage. I wish I had a gun, that would make the choice easy. And I also don’t want to do it in Aaron’s condo. That would be extremely rude and selfish of me. If I do it, I should just leave here and Aaron could just think that I ran away or something so he wouldn’t have to know I killed myself. I really don’t want to hurt him and that is the hardest thing for me, but I know he’s right, I just  *  *  *  *  on his good moods, I drag him down and I am insensitive to his needs because I am so absorbed in myself because of my loathing and self hatred. I’m going to think about it some more and hopefully I can come up with a plan by the end of this month. If I don’t get a job soon, I’m going to have to kill myself. It’s my only choice. And don’t try to tell me to go get help. I only have $30 to my name, 140K in debt and bills that have piled up for months, and I haven’t had health insurance in over a year. I can’t afford it and I am not going into some inpatient thing. They don’t listen to you, they hold you involuntarily, they just try to shove pills on you (and not even the ones I want) and send your way with a nice 7k bill to follow. I am merely posting this to see if anyone else has some good ideas on how to kill yourself.


"
"
					Waiting patiently for the end
				","

							I just don't see the point of living anymore. I don't seem to be able to take the actual steps towards suicide but every night I go to bed and pray to anyone who may be out there that I don't wake up in the morning... And every morning... When I DO wake up, I feel filled with disappointment that I need to live another stupid, painfull, pointless day on this Earth."
"
					Don't Have Much to Live For
				","

							It's really amazing how little I know myself. "
"
					Looking for a reason
				","

							I... I honestly don't know why I decided to register for this or go about typing this, but I really don't know what else to do.. I have a family that cares for me, I think, but I don't care for them. I feel like an empty shell all of the time. I honestly can't remember the last time I felt happy. I'm trying to find a reason why I shouldn't kill myself, the feelings have been getting worse and worse. I've thought of counseling but there is no way in hell I am going to lie down on a chair and listen to an overpayed shrink saying ""how does this make you feel?"" I just hate living and I want it to stop. I don't want to cause pain for anyone else and there is no way I can talk to anybody about this without them over-reacting , so here I am on my computer and I don't know why."
"
					Er
				","

							I am sitting outside of the ER becuase I fear for my life.  What is going to happen when I go in?  I'm kinda freaked out...


"
"
					Confession
				","

							Ok, so this is my first time ever mentioning this to anyone else.  I thought i would try it out since iv been browsing all over the internet suicide forums and reading other people stories. Curious to know what other people would say if anything at all. So here it goes..."
"
					I think this section should have some good general advice 'stickies' at the top
				","

							Do others agree? The site should make it easier for people in need to find help and information.


"
"
					how should i kill myself ????
				","

							i'm 23 years old and it seems every little thing in my life is falling apart. "
"
					I'm just too tired to go on
				","

							I'm writing this because I guess I'm just tired of keeping it to myself and I want to see what people think of it, and what better audience is there than the internet? If you haven't figured it out yet, I'm talking about killing myself. I'm not some melodramatic kid who's pissed off at the world, I just don't see the point in going on anymore. Everyday I wake up tired and have to pull myself out of bed to start a pointless day that always ends with me wondering why I haven't grown the balls to finally pull the trigger on myself. I have no friends anymore and I live with my parents who I know love me, but frankly expect me to be this prodigal son who's great at everything. I'm going to a community college and I'm failing two of the four classes I'm taking, I don't have a job, the only girl I ever really liked as an adult treats me like I'm an object for her amusement, and I'm finding it harder and harder to even pretend like I'm normal for the sake of the people around me. Some prodigal son right? I'm not sure when I started feeling like this, but I know that I just don't feel anything anymore except for depression and rage. It's like everything that made me happy just doesn't anymore, I don't have anything to live for. I tried killing myself once before, but due to a weird computer glitch my suicide note didn't go out and I didn't want to just vanish on my family. Divine intervention? Or maybe satan just wants to screw with me for a while longer. Or maybe it was really just a glitch. I used to cry when I thought about killing myself, but now the idea of it energizes me because at least I'm taking a step in a direction, even if many think it's the wrong way. I would have tried again sooner, but awhile ago my dad's best friend killed himself and I couldn't have gone through with it so close to that. I sincerely hope there is not a god, because if there is and it tried to teach me something about suicide by making my dad's friend kill himself or at the very least allowing it, then that's not a god I would want to be a part of, I'd rather burn. Even though I have plenty of problems with my folks, I love them and I don't want to hurt them, but I'm just hurting them by staying around here and I can't take their demands of me anymore. I'm a loser, and it would just be better if I went away forever. If anyone has any suggestions on how to leave them without it killing them, please post away. If you somehow feel compeled to try and save me by telling me that I'm worth something and that it'll get better soon, don't bother posting.


"
"
					will it ever get better
				","

							My boyfriend of 10 years dumped me two years ago.  Since then I have done everything you are supposed to do to get over it but I just cant.  I've gone to counselling, taken antidepressants, gone out with friends, started new hobbies and kept up with work but I feel as bad now as I ever did.  like another poster I go to bed each night praying not to wake up.  All I want is him back.  Please give me some suggestions to help me cope.  Thanks for reading.


"
"
					Depression hurts..don't wait like I did!
				","

							I just wanted to share this blog I wrote with everybody in this section who can relate! Hope it helps you =) "
"
					Money.
				","

							I'm at my wits end. I'm losing hope completely."
"
					read this... hope this helps
				","

							Hello everyone, "
"
					Whats the point of all of this
				","

							I feel suiciidal almost everyday and its been like this for 3 years or more. I probably would of been suicidal my whole life if i didnt live in my own world. That bubble is gone and im constantly stuck trying to deal with all these things in my life that i cant deal with. I cant talk about what is bothering me because its too painful. I then get stuck with people wanting me to explain things because i have this attitude because people cant help me. I really dont get what to do anymore. Either way i lose and im just stuck picking up the pieces. I dont even know why i havent killed myself but somehow i havent. I just keep on trying and just keep on falling into the same problem again."
"
					I wish I could fall asleep and never wake-up.
				","

							Has anyone ever been in a postion were they think they are okay and nothing is bothering them but sometimes still think about sucide and want to go through with it ? But that something is always stopping you from doing it ? Sometimes, I wish I could fall asleep and never wake up again. I just dont want to wake up anymore. Wake up to what. I have nothing to look forward to when I wake up. Really dont. Sometimes, in the back of my mind I think that i'm better of being dead then alive and I dont even know why I'm here anymore when i'm better of being dead then still hanging around. Still dont understand the reason. Why am I still here.  To a point I really dont care who I hurt and who I dont. I've been hurt to many times to care about who or who I dont hurt. "
"
					scared..
				","

							Lately, I've been having thoughts about suicide. This isn't just thoughts of anger or regular depression, but actual thoughts about killing myself."
"
					I want to kill myself - not because im unhappy
				","

							Hi,"
"
					2 full bottles of sleeping pills
				","

							I don't want to kill myself...but at the same time, I don't want to live anymore. I look at everyone around me and they have achieved so much in the last 15 years. Me? I'm back where I started...which is nowhere. Sure I went to school, got a 4 year degree, worked for a finance company.. yada yada...but now I'm back home with my parents, working for our small family business--a bakery shop...exactly the same thing I did 15 years ago! Nothing has changed....except I wasted alot of years...    And then after many heart breaks...I thought I finally found ""the one""!   I really felt like God was finally blessing me with a good man and a good relationship...We dated for almost 2 years...mostly good memories...and then he recently broke up with me and said that he doesn't see himself married to me. OUch! In my drunken state, I've always been tempted to swallow two full bottles of sleeping pills. But I'm so scared about where my spirit would go in the afterlife that I stop myself. Its funny cus I'm usually the ones to tell people NOT to commit suicide...but how can I help others when I cannot even help myself? I don't know what to do anymore. Death seems very enticing right now--


"
"
					Trying
				","

							2010 was to be the year of changes. I just recently graduated from college and the plan was to move to Washington. But horrible things keep happening and now I feel so lost and like I am not going to get where I want to be. I have so many things I have to deal with and I understand I've made some bad decisions and now I am paying the consequences. But why when I actually want to be a more positive person, a better member of society, does everything suddenly come back around to slap me in the face? It's like a never-ending vicious cycle and I don't know how to get past it all. "
"
					I've thought about it sometimes...
				","

							From time to time something bad happens and the thought crosses my mind... yes, I think that I've actually considered committing suicide. I doubt very much that I'd have the courage to go through with it but it scares me that these thoughts are in my head. Why am I thinking this way? Because a relationship didn't work out? Because some guy didn't like me the way that I liked him? I know these men aren't worth it... giving up my life. I know that I could never do it, yet I've thought about it... and it scares me.


"
"
					So sick of trying and gettin nowhere
				","

							I dont know how i keep gettin to this point. I dont feel good about anything in my life. It seems like im supposed to just float around in nothingness because I cant somehow live a life thats enjoyable. Im just so sick of trying to make myself feel good when i feel like  *  *  *  * . Its like i have to put on a fake persona because my life is so bad that I cant live with it. I do nothing but somehow i always seem to just make it thru my really f-ed up life. I just want to scream, cry, and punch something so bad it kills me. I have so many demons eating away at me that its driving me nuts. I just hate that this is what my life has become and all im supposed to do is just accept it for being miserable."
"
					Life after suicide
				","

							So, as I have written before I lost my sister to suicide in 2002. What a life changing event for those of us that survived her loss. Her children...adopted outside of our family, they changed not only their last names but their first names as well. At least they were kept together. It has been a long road of healing for me and Im sure for her children as well. They were very young (5yrs and 3 yrs old) when she took herself from us, but the adjustment for them was hard as well."
,"

							Hi guys,"
"
					Just another guy that writes about suicide I guess
				","

							So this is my story.I am 18 years old,in highschool(I'm a guy),I always thought about suicide,and I still am.I haven't done it yet because I am afraid to kill myself,but from what I read on diferent forums,I saw people saying stuff like suicide is a permanent solution to a temporary problem,etc.Now here is why I believe that you are wrong(in some cases at least).I have been a fat kid all my life,not too fat,I mean I can still walk,run,and stuff like that.Just that I'm fat.When i was a litle boy I was bullied by others that made me lose all my self-confidence(not bullied like what you see in the movies,but since i am sensible by nature,I put it to my heart quicly).During high-school i wasnt bullied,but this doesnt mean that the others like me.I am just an outsider with no friends and no one likes me.Never had a gf,never had sex,hell,i cant even socialize properly."
"
					my wife is suicidal
				","

							Hi,"
"
					I'm done
				","

							You experience lows that feel like you have actually kept going way past rock bottom. Then things get better for a while. But all the time you live in fear of the lows coming back. Then they do and you realise that the highs account fir such a tiny part of the whole that it could be the longest time before they come round again."
"
					so ready to say good bye
				","

							its been months since ive thought about suicide, but the past couple weeks its all i can think about. im so ready to say good bye to this world. im not worth the fight to stick around, bleeding on a daily basis. i have a plan, just hope it works out this time...


"
"
					ugh, typical rant. i think it's time.
				","

							I am so fed up..."
