,heading,post
1428,help....each day is driving me crazy,"I've become so depressed i cant even walk with my head up. I've lost everything.....my girl, my career is in the dumps,my health is down, and i hardy have any friends. I've had a history of social anxiety, depression and now i think i'm paranoid too bcz I don't see any future for myself. Everyday its the same thing, dread about the future, absolutely terrified about the future. I dont have that 'safe' feeling...not even at home. I keep thinking to myself..God take me away....There have been too many traumatic situations in life which have made me like this and i don't know any way out of this."
1429,I thought love was suposed to be beautiful. Help...anyone?,"My best friend, who's the only thing I care about in the world, said she was in love with me recently, and it felt better than anything I've ever felt, but 3 days ago she took it back, and now she's in love with someone else, it feels like I'm being consumed from the inside out, I can't take it anymore. Can anyone tell me what pills will kill me the fastest?"
1430,On considering suicde-and considering others,"We are told that if we are consdiering suicide, we should take into account the feelings of those we might leave behind. This is reasonable, but it ignores the fact that there are people, like myself, who don't have anyone-no family,no friends, absolutely no one. I don't know why loneliness and being unwanted has been the curse of my life, but it has. It's just a horrible fact of life. Since I have no one who cares about me, does that mean that my suicide is more ""justified"". I am probably going to kill myself before the end of this year anyway; but if I had a ton of family and friends, why would my suicide be ""more wrong""?"
1431,What keeps you going ?,"As a teacher, I know that my kids need positive experience at school. Even if they don't perform well, it's very important to feel a supporting hand, someone that acknowledge their potential. You have to give positive feedback in order to keep the kids motivated. People, especially kids, tend to ignore the aspects of their personality where they perform badly."
1432,I'm fascinated by suicide and I want to know what it's like...,"I am not unhappy, at all. I have a lot of friends and nothing in my life is going wrong at all. I simply am just fascinated by the fact that someone has the choice to take their own life, to hold that in their own hands. A kid I knew, not well, I only met him a few times... killed himself about 2 years ago. He had tons of friends, there wasn't a person that didn't like him, he was a software engineering major at a huge school. I don't know why he killed himself or even if there was a note, but something about that situation makes me think he knew something. Or that he just knew that life needed to go on without him. I've been thinking about suicide a lot lately and even though I don't think I have the courage, yes, I said courage, to kill myself, mainly because I couldn't even bare to think about what it would do to my family and friends, I wish I could. I just need to know what happens and what it's like. I feel like if I ever get the oppurtunity to have a gun in my hands, I could think about doing it. Is there something wrong with me? It's kind of scary how much it fascinates me. I'm sure there have to be other people out there that is fascinated by it. And I'm sorry if I've offended anyone with depression related suicidal thoughts."
1433,i don't know what to do anymore...,"well, where to begin. ever since i was little i never really felt happy with myself. I always thought of myself as, ugly, stupid, and just incapable of fitting in with other people. I feel very lonely a lot, don't get me wrong, i have friends but i don't feel very close to any of them."
1434,sounds bad,but i want to end my life but im scared of doing it alone. i know they say if you want to end it you dont get scared and think about the pain etc im 100% sure i want to end mine but feel as though i need someone to go threw this with me
1435,Feeling very depressed and even suicidal... I'm serious.,Hi everyone.
1436,Suicide.. Forgotten the next night,i just keep thinking.. and thinking.. and thinking about suicide.
1437,My ex is having suicidal thoughts....,"This morning I woke up to 17 twitter updates from my ex. He was talking crazy, not making much sense. He is bi-polar. I have known him 18 years and we started dating last summer, but things ended in early June. I guess I should state that things ended during a manic episode that he was having and he cut me out of his life. That was the second time since we started dating that he did that. I have recently been hearing from him again..just casual chit chat and when I read the twitter updates this morning, I became concerned about him. I texted him early this morning and asked if he was alright. He said ""No."". I asked if he wanted to talk about it and he said ""No. Its insanity"". So I told him that I would listen if he changed his mind and that he could talk to me anytime. His reply was ""Too drunk. Gonna die in the next 9 months. No order. Only chaos"". He then went on to say that he was at the point that if there was no more him, then there was no more. He was fine with death now. I know he has attempted suicide in the past, most recently in 2005 and he said in his twitter update that he was feeling like he did in 2005. I don't know what to do or what to say. I don't know any of his family and any of his friends that I know are far too shallow and narcissistic to even care. His last text to me said ""Me tomorrow = drinks. Today c mean"". I'm not even sure what he is trying to say there and he will no longer answer me. ](*,)"
1438,I can't do this anymore,"The last year of my life has been hell..... The love of my life cheated on me with his ex, my job has fallen apart, and people who I thought were my friends are cutting me out."
1439,I gotta a gun...It's scaring me...,I recently just got back from training with the military. Im now a civilian armed security guard. I own a gun and I am now scaring myself. I get so depressed and I feel sooo alone all the time even when Im with other people. Dating doesn't help cause when the guy stops calling I think somethings wrong with me. I don't like being alone...Ive called suicide hotlines many times. One time when I got really close....Im just tired of feeling like this..
1440,7,I was 7 years old when i wrote my first suicide note. My mother found it and gave me a whack. No one understood.
1441,Is there a point to all this? Really?,I want to die
1442,I still don't get it!,"I still don't understand why i can't get control of my life. Emotions keep affecting my choices i make and its scares me. On the other hand i make it a priority to be a logical person to a T on the surface! I do a good job and keeps my work intact and friends to an extent...on the other hand im very emotional introspectively and emotional with my family and close relationships. Im troubled with my self image and as a result struggle with close relationships and my family. I try ignore that side of me and just get by day to day but i eventually come back to looking at myself and its ugly. I end up depressed and anxious and extreme paranoia! The paranoia is what scares me! This is may seem ridiculous but i become paranoid of getting sick or disease especially lethal or STD's Ive practiced safe sex and been tested partner or two ago. The logical step is to test all the time as it may not show up first couple. But regardless of logical answer for that emotionally i feel dead. I guess i should be alone in that regard if i fear. On flip side cancer could happen to anyone scares me. Im sorry to write this if anyone thinks im overreacting but my emotions are acting irrational and i dont know how much longer i can resist! With suicide so common seems like its not entirely bad to rule it out logically speaking. I understand that it may be the only way to correct this situation. My life isnt entirely bad though just my emotions i don't get it! My family shoots me down everytime i try to talk to them because they look at me at being myself or weak. Doctor looks at me like a disease or a drug. Friends have no opinion or don't realize i think they have there own business. The world might look at me like a statistic thats scary. Almighty looks at me as a defect in creation. Im sorry this is long but im must be thorough; im 28 and seems as i get older as a guy i get more ugly too ive put on 40 pounds last 4 years, yes i work out. Im not very domesticated. Im was engaged couple years ago but didn't work out and im single to this date, i feel the quality of dating will decrease with age as my body keeps attacking my vanity. I drink alot when im down and continue to smoke off and on. I invest on the stock market which has its swings. I don't feel a typical suicide. just a balancing scale between my torn emotions and my plush logic. I need to nap in that marble orchard soon enough because this equation is too much for me to continue further please please understand!!!!"
1443,Just so you know...,I wanted to offer some words of hope...
1444,My boyfriend blame me for his suicidal thoughts,"He always blame me for everything, like it's always my fault that he wants to kill himself. I never do as he asks and he will always get in a mood where he would rather be dead then alive because I make him feel like s__t like he say."
1445,I hate living.,"Life sucks. The people that call themseves my ""friends"" are selfish stupid people. No one understands me. I'm alone and no matter how hard I try I can never seem to do things right. I just want to be done with it all. I am scared and need someone to talk me through this please..."
1446,First Time Here...,"Hi,"
1447,I want to jump from a bridge,Hi
1448,What to do,"Were do I start well back in thanksgiving '05 my wife called me up and said a friend needed a place to stay for a couple weeks so I said ok well january '06 she left me for him not only did I take him in but he was a heroin addict. I moved on got a new girlfriend and my wife did all she could to ruin it and she did not only that my brother was sleeping with my girlfriend and this wasn't the first time he did this to me after time went on in '08 I ended up in a mental hospital cause of my wife. Well I agreed to work it out with my wife and in january '09 our house burned down she then informed me she wasn't happy and wanted out I tryed to talk her out of it but she made up her mind. in feb of this year i lost got laid off march lost my second job april lost the place i was staying at moved in with my brother, may had my money stolen from my brother-in-law june my brother lost his place moved in with the only person i could the same person who took my money 2 days later on july 2nd he stole my car and wrecked it while smoking crack and all he got was a 6 month sentence for it and over this weekend I just found out my wife left me again for another man who is locked up pretty much i found out she was whoring around on me and while we were together in '08 she was still talking to the heroin addict trynig to make plans to be with him again. I can't find a job have no money and am left all alone I mentally and physically can't stand my life anymore i want to end it what do I do there is no hope in sight"
1449,Is suicide a reasonable option for me?,"I'm a 16 year old male, and my mom is an evil vindictive witch. I haven't seen my dad since I was a baby, but she got re-married to my stepdad, and now she hates me and wants to move on with her life and her new family. And please, please DON'T say I'm overreacting, because she even says that and it's plainly obvious if you observed our house for more than an hour. It's obvious to me now that natural maternal love is a lie, she tossed me aside like I was garbage ever since I was 14. She buys food for herself and her husband but buys me nothing. She tells me to drink tap water while her and her husband drink coffee and soda and smoke cigarettes and eat take out food. She doesn't give me money for a haircut or school supplies. The only way I can get these things is by selling my old video games and I'm almost out of the money I got from that. I'm wearing old clothes and everyone at school makes fun of me for it, so I have no friends. If I ask her for a drink or clothes she'll tell me to f*** off and hit me, and then when I defend myself against her she calls the cops and they take her side and act like I'm the bad guy. She told me she doesn't care if I died and couldn't wait until she could kick me out so that she would never have to see my face again unless it was in the obituaries page. And when I tell other family members about her she lies to them and they all tell me that I'm overreacting or lying. She's a really terrible person."
1450,whats left,"well here it goes, i am only 21 but my 21 years of living have been utterly hell and i cant deal with it anymore. I am normaly a positive person but life has taken that from me to. I have no job no money no family soon no home cant get a job because i got into a fight with a kid in school and his dad was a cop.Because of him i have lost my licence i have over 5k in fines, the car dealer i bought my car from shafted me and now i am paying money i dont have on a car that doesnt work. I have nobody and everytime i try to better myself but it just seems everyone gets there rocks off on smashing everyone elses hopes and dreams. this is my last option before its over. and dont say er. its because of people like me who cant handle all there problems is why it takes 10 hrs to get seen and is the reason that helthcare goes up. I am not going to cost other people money for my failed problems. i just dont know what else to do besides end it."
1451,Attempted Suicide,The mother of one of my best friends tried to commit suicide. She got rip-roaringly intoxicated and took a bottle of pain medication. Left a note. I don't know how to talk to him about it. I've never once been suicidal and have no idea how to handle this situation with him.
1452,Break up with Girlfriend - No point in being here,Ok well basically I have been in a relationship for a while with my g/f who I see everyday and have done since we started dating. We were deeply in love and thoroughly enjoyed spending as much time as we could with one another. However recently I did the worst thing you can do and cheated on her sexually. Yes I know it was my fault and I am not blaming anyone but I felt peer pressure made me do this - as I was with a stronger minded person who kept insisting me and this female indulged in sexual acitives.
1453,Really scared of whats to come.,"Hi,"
1454,Contemplating Yet Again...,So... I don't even know where to start here.
1455,Maybe my best option,"I am at a extremely low point right now. I'm sure alot of you know who I am but my ex left me 3 months ago, still lives with me, and spends the weekends with her new boyfriend. She said I drove her nuts with my indecisiveness, I bored her, sex wasn't playful enough for her, but I still want to be with her. And she has told me numerous times that living with me was an ""experiement"" and she still isn't entirely convivnced that I'm the one, she is too young, and needs to date around more, but we co uld definitely get back together again in the future as she thinks I might be a better fit for her in the long term. I have begged though and acted like such an idiot that I can tell she is closer to the other guy now and it's very painful to watch. I have nowhere to go. This has driven me crazy because when I look at her I just want to be with her and make things the way they were before. She was so good to me before and I g uess I took her for granted."
1456,What am I supposed to do...,when I start thinking about doing it?
1457,I've never felt this way.,"I have a hole. Its like something I have never felt before. Its constantly eating away at me. Waking up is a dread, I constantly think about the worse things in the world when I wake up. I feel like I can't handle this anymore. I can't handle the constant thoughts that my boyfriend is cheating on me, I can't handle that my parents can't accept my homosexuality, I can't handle the constant voice in my head that keeps me from doing the things I want. Its like my body wants me to stay this way. I don't know how to handle this anymore."
1458,"If the belt hadn't broken, he'd be dead.","Last night I heard some crashing around in my 17 year old brother's bedroom. He has always been troubled, for as long as I can remember. The problems run the gammit, from behavioral problems in middle school to running with the wrong crowd as a freshman to wildnerness camp for substance abuse as a Junior."
1460,I don't know why I exist. I'm better off dead.,This economy has hurt me in so many ways in my personal life and a bunch of that pain stems from childhood.
1461,I don't want this pain anymore,I'm not really suicidal but I know I get feelings that I don't want to be here anymore. The pain has just gotten too great for me to deal with any longer. I have an ex-wife who put me through hell fighting for my rights to my children. This was 6 1/2 years ago and she still torments me to this day. I won my equal rights to my children (ages 13 and 10) so I get them every other week.
1462,every day is the same,I just want you 2 give me an advice........I was born just because my mom wanted a sister for her daughter.....no one wanted me then.....when I was 7...my father left me my sister and my mother...and he go....i don.t know where.....before that every night he came home drunk and yell at my mom.....When he left my mother found out that he mortgaged the house....we don.t afford to pay it...so the state took our apartament....we rent one room ....we where moving all the time.....rent was half of my mother's salary.....when i turned 13 we moved at mom.s sister....in the other town.....until then...my life was quiet but being a kid I wasn.t really realize.....what was going on....anyway....i thought that here we will have a new start....other life.....but...I was wrong.....I never could adapt town ...at
1463,Need advice,"Hi everyone. Thanks for taking the time to read. I'm writing because I would like some advice. Well first of all, I have suicidal thoughts a lot lately, and I'm the type of person that few if anyone would ever expect to since Im positive, uplifting, forgiving, and smile a lot. The reason I've seriously given it some thought is because something is wrong with me physically. I experience a great deal of pain on a daily basis and when I am around people I totally suck it up. I've been to countless numbers of doctors (both general practitioners and specialists) and all they ever say is that my chart shows that I have some of the best health that they've ever seen but they wouldn't think of saying that if we could trade bodies even fir a second. You're probably wondering what kinda illness? Well I don't know as o haven't been given any diagnosis but the beat way yo describe is that I have all of the major symptoms of diabetes except I'm unable to have relief. This started back around 4 yrs ago. I am extremely thirsty, when I drink I have to immediately urinate, now I feel hot on the inside as if I'm burning up, and my skin is progressively drying out. Then although I'm naturally confident it's gotten to me because I don't look or feel like the person I used to be. My skin used to be perfect...smooth and radiant, with glowing white eyes and guns (bicep muscles) that would turn heads but now it's all faded. I know that we're not really the body and that it's merely a vehicle in this life/physical reality though i'm going through this and the main thing that bothers me is that no one can find anything wrong. I tested negative to diabetes 6 times and also diabetes insipidus (DI) twice. Although I tested negative for DI twice the doctor thought it was ok for me to try the desmopressen, so I tried for a year and it did absolutely nothing for me. All I know is that I have some type of water wasting disorder going on and because of it I rarely ever sweat, have body aches, muscle tics, dry skin, serious pressure sensation in my head, and an unquenchable thirst. The only time I feel is is directly after waking up and maybe directly before sleep. Waking up to this feeling everyday is a nightmare. I love life and respect people that focus on living and helping others and anyone that is genuine for that matter... I'm still do young and I really always wanted to have a familybif my own. There's even a young lady that I know that wants yo marry me but I can't get involved with someone with me being like this. Btw this all started after a car accident whereby an old man in his 80's ran a red light and smacked the mess outta my car whereby I spun around several times. I thought I was fine as there was no apparent exterior damage yo my body but boyyyyy was I wrong. The next thing you know I became extremely agitated and stressed out so when I got home I took this liquid mineral drink called"
1464,The Easy Way Out,I don't understand how people can say that suicide is the easy way out... I mean... I feel like its the most toughest thoughts I ever have... I feel like I'm being ripped apart every single day more and more... I thought I knew myself...I have a conscious mind of how I am as a person.. And yet... suicidal thoughts bring comfort to me to imagine myself dead...but then they also cause me so much pain... apart from the pain I already feel about life and living... Like I've said before... I'm most likely not going to... I just don't understand how people can say that its the easy way out...when I feel like its the hardest....
1465,I give up...I can't do it,I never thought it would come down to me feeling like this. But it has. I need help. Nobody will give it to me. I don't even want to talk about why. But I need something.
1466,Sorry about the lengthy rant : P :,"I'm not sure where to start, so I suppose I will begin from the time I was admitted."
1467,"""Crying on the inside, bleeding on the out,""","I cannot deal with this insane lonliness. I have literly no friends and im not exaturating. they all ditched me cause im suicidal and switching schools. I hate authority and society so much i cant even explain it. like wat it the point 2 it all? im just so sick of it all. Ive got an aduly mind trapped inside the body of a child and i hate it. No one takes me seriously, my parents and grandparents wont get the f*** out of my business. I wish they'd f*** off and leave me alone. and as for cutting im gunna do iyt anyways wheather they take away my knives and sharp objects or dont let me close doors or take me 2 a shrink or whatever. and im gunna do watever the h3** i want 2 anyways so why even waste their time on me? im worthless im not worth their energy. and god i hate society so much."
1468,Have any of you tought about organ donation?,"Hey so i was thinking, here i am i hate my life i cant stand it anymore, yet im perfectly healthy (except my head i guess) and there are people out there who would do anything to live a little longer yet they cant, cause they have an illness or organ damage."
1469,The time is getting closer... 4-5 months to go,"Well its getting closer to the holiday season, and at least I know I will not have to deal with this life anymore. Got a couple of good ideas to end my life. Only one of them would have to be done during the summer."
1470,No social life,"Hello,"
1472,Sick Of Feeling Up and Down.,"I'm sick of feeling up and down, in and out, and just plain crazy. I'm sick how one minute I want to seriously kill myself, and now that I ate something, I feel okay. I'm sick of it- It's like my emotions and thoughts can't stay in one place. I just went to my psychiatrist tonight and I was crying and everything. Thoughts about how hard these last several months were, how cruel people can be, how I never felt like I fit in anywhere in my life... just all came crashing down and it made me burst into tears."
1473,I think it's time....,"I'm so tired of my life. I just want to end everything. I haven't had a girlfriend in years. I haven't had sex in in eight. Yes, eight years. I feel so pathetic. I'm so lonely. It's really made me hate women, even though I know it's not their fault. I wish I could go back in time ten years and tell my fourteen year old self what my life is going to be like and hope him/me has the balls to kill himself."
1474,Cuts,I look down at my smooth wrists
1475,Just need to vent dont mind me,"Hello, first time here, i just need to vent before i do it and clear my head you dont have to read all this lol."
1476,Success Doesn't Fix It,"My little sister was diagnosed with depression a few years back, and since then I've been trying to help her cope with this new reality. One of the things that frustrated her the most was that she could feel better no matter what she did or accomplished. I began to explain to her one of the sad realities I had to learn, and that's that success isn't a quick fix for depression. She's been making tremendous strides in her life, and achieving things she always dream of. She completed her degree. She got a modeling contract with Ford. She's been traveling all over the world, but the depression still haunts her, despite the fact that she feels she should be happy. I remember how hard it was to have that conversation with her, because it's definitely one of those things that can easily make you lose hope. I mean, if you can't be happy even when you succeed, then why live? This is such a difficult way to ""live."" I remember growing up and learning it on my own. No matter how well I did in school, or anything I accomplished I still had this hole. IN the past year, I've been hospitalized 2 twice for failed attempts, and I've had two secret failures. I'm beginning to see success in music and I'm moving toward things that other people dream, but I'm not happy at all. That makes me feel worse, because I know there are so many people who are fighting to get where I am, yet I don't seem to appreciate it the way I should. I want this to be over so badly. I hate when people say, ""Killing yourself is easy if you"
1477,I just don't know anymore!,So a couple weeks ago I tried to jump off a bridge. The police were called on me and they got there just in time. They arrested me and took me to a place called Oaklawn on suicide watch. I hated being there so I lied my butt off to get out of there. So after getting out and going to see a therepist I found out I'm bipolar and they put me on some anti-depressents but i never take them because I'm an idiot. After finding out I was bipolar I got really depressed because I knew that whatever chance I had of getting into the Marines was gone. Then a couple days ago my roommates in the appartment I live in got in a huge fight and I got kicked out. So for about two days I was homeless and I had to have two people with me at all times so I couldn't try to kill myself. Now they let me move back in but everyone keeps fighting all the time and I can't leave because I have nowhere to go. I can't take this anymore! I'm gonna kill myself but this time in a way that won't draw attention to me until after I'm already dead.
1478,"i have no other choice, im done, i give up","whats the use of anything anymore, whats the use of even coming on here. its not gunna fix anything. i hate living i want out of this world. im just a boring person with nothing to offer anybody. im just a waste of everyones time. a loser with no job , no life. i cant take this pain anymore. whats the point of getting up every day just to live out a boring * * * * ty day then get up the next morning and do it again and again. i dont have any close friends anymore there all gone. im a recovering drug addict and i have bipolar, and depression, so im basically screwed up bad. theres no joy no fun, nothing and nobody. i dont even no who i am but i know i hate myself, and im sure everyone hates me 2. i want to be dead. i wish i ws never brought into this world. sometimes i wish someone would juss crash into my car and kill me, or someone would just shoot me. maybe suicide by cop. either way i cant take it anymore. nobody ever cares till its too late."
1479,End to failure,"I arrived at this site because of feelings i am having, and found individuals here with similar problems, however not to detract from their issues i thought I'd just start a new thread. I cant tell people how afraid i am of people i know finding me so to keep it brief: i was a star student who throughout high school saw myself develop into the class clown. I got one of the best high school diplomas in Europe giving me access to pretty much every University I could want to go to (depending on my subject choice) and did so without studying at all."
1480,The last note,"I don't know if i could write a suicide note. What would i say? Why would i pour my heart out? No one seems to listen to me while i'm here and alive. Go figure they MIGHT listen after i'm dead, but what good does that do for me?? I'm dead."
1481,The Price on my Ticket,"$59,000. That's how much I have to come up with before I can punch my ticket. Why? It'll pay off my student loans and cover funeral costs. My father is a cosigner on my loans and if anything happens to me he gets stuck with the entire bill. I don't want to stick my family with any expenses after I'm gone. Frankly if I could find a bank that would hand me $59,000 without a cosigner based on my credit rating no matter the interest rate I would be gone sooner than later."
1482,I just can't keep going,"Up until two years ago... my family was very wealthy, I was very talkative and funny, I would have every girl behind me and every guy wanting to be my friend. They all did what I said, everyone loved me, I was the teacher's favorite always, the parents loved me. I found a lot of great friends that were very much like me... I could have asked for nothing more. Now I'm 16; two years ago my family's business went bankrupt, we all lost everything, for two years I was kind of okay I still had my friends, money and friends has been the only thing I cared about for my entire life. Every day that passed I became less attractive for some reason, I lost confidence in myself, I discovered I was gay, I don't know what happened but I just wasn't funny anymore, suddenly I had nothing interesting to talk about, and so I didn't anymore. I moved away with no money or emotional strength to make new friends. I kept holding on to my past and not making as many friends here. Now it has come to a point that my old friends grew up and are no longer there, my new friends aren't good enough, and I am lost in a living hell. I've been in love like four times with some of my good friends here and right now I am really into my friend Albert. I can't take this loneliness anymore, I don't have many friends, my family was never close and I have no money. I don't want to live anymore I just want to disappear."
1483,i think its over for me,I have been depressed or sad about my life for as long as I can remember. Rarely can I think of an extended period of time when I was happy or even content with my life. I cant seem to make friends or even worse cant find love. I cant even find a girl that will like me enough to give me a chance. I am constantly having my heart broken. Each time I want to believe it will be different. But I always end up hurt. I don’t know what to do or what is wrong with me. There are many nights I wish I wouldn’t wake up. I have now been on antidepressants but dont think they are working. The only friend I have only ever wants to go out and get drunk and talk * * * * . And he doesn’t care who he goes with. Its doesn’t matter if its me there or someone else or no one else. I need more than that in my life. I feel like I cant relate with my family. I don’t feel close to my parents which is probably my fault for trying to distant myself always. I know they love me and care about me but I don’t know how to love back. I don’t know what to do anymore. I want to die. Have for a long time. But I am too scared that I will fail at even that too. The other reason is that I want to at least once in my life feel like I am or was a success. I want to feel like what I have done has been good enough. I want to make a difference. But I don’t think it will happen. I don’t have much but what I do have can be split between my brother and sister. Im tired of people thinking im lame. Im tired of sleepless nights. I tired of rejection. Im tired of being alone. Too many nights I have looked at a bottle of pills with a bottle of vodka in my hand and just thinking tonights the night I do it. I cant live like this. I have tried sleeping pills to help and they don’t seem to work. I have tried natural remedies for depression and they don’t work. Now I am trying modern medicine and it doesn’t seem to work. I go days without eating. It just hurts inside so bad. I want to disappear. I want it to be over. I need to end this now.
1484,I cant take it anymore,"i so badly wanna just kill myself right now. im never gunna amount to nuthin. im tired of workin so hard just to survive. i have no money, i have nothing and im going nowhere. i dont care about nothing anymore. i hate everyone and everything in this whole king world. F it all. i wanna be dead. i wanna scream and im so pissed right now. im gunna end up doing something stupid or messing up eventually its inevitable. i cant take it anymore"
1485,I am no longer looking for help.,Seriously why should I? To get told there is no one who can help me? Or my problems are too much for their service?
1486,"It Just Never Gets Better, Does It...",Long rant.
1487,Contemplating,"I can't take it anymore. I've led what most people would probably consider a good life, but I always feel like I'm missing something. My parents get along with each other and don't abuse or neglect me, and we don't have any financial problems. I never got into drugs and I've always been a good student. I graduated high school as a member of NHS with a 3.7 GPA and scored a 33 on the ACT. All the classes I took were Honors or AP and I scored 4s and 5s on all my AP exams. I was an Eagle Scout by the time I was 16. I've been at Michigan State University for two years and I've been earning good grades despite having an extremely challenging course load. Almost everyone I meet compliments me on what a hard worker I am, how polite I am, etc. None of it ever gave me any sense of pride or fulfillment. I felt like there was no point in anything that I did."
1488,I'm scared because i've been thinking about it.,"this is going to sound rude and arrogant but i am the lonliest person in the world right now and it wont ever get better. i know its easy to say for others that it will but it wont. i have nothing to offer anyone and just dont want to live anymore. i have every symptom of GAD(generalized anxiety disorder) and have done nothing about it, no money. i try to exercise everyday but it doesnt magically release endorfens and make someone desire you. after all this i cant because i fear what it will do to my family. i dont know it's going to happen eventually when i just decide to end it all."
1489,why i dont really want to live anymore,hi all
1491,what to do,"the last year has been horrible for me. lost my mom, both grandma's and my best friend. It is coming up very close to my mom's one year anniversery. she was my everything. The reason that kept me here for so long. Ive gone to psychiatrists me whole life and been told by many of them that they are surprised that i am still even here due to all the things that have happened to me in my life. I was beaten, raped, always told i was nothing and after hearing it so many times i actually believe it. I now live with my abusive alcoholic dad who tells me every day how much of a screw up i am and how much he had wished i was outta his life for good. i am 17 years old. i have tried to please him and make him love me when deep down inside i know he never will but it hurts. it really hurts. Me and my mom were very close. Did everything together. She always told me how much i meant to her and would never let me forget it. I miss her so much and nothing seems to be going right for me. i want to be with her. i cant keep going on feeling like this. I want to end my life i really do but i am afraid to."
1492,Good bye.,I think it's time now.
1493,"Clear headed, and thinking about suicide","So usually when suicidal thoughts come up in my mind, i am in a low down place, and very sad and depressed."
1494,why can't something happen and it would all be over,I'm so screwed. I can't live without my ex. She screwed the life out of me. I just can't imagine life without her.
1495,I hate this life. What else is new?,For about the past two years I have been having these suicidal thoughts and urges. I have been wishing myself to be dead and never have to deal with the world again. Want to know the real twist?
1496,i have nothing,almost 22 years old never had a job. no car or drviers license. not one friend. i live with my dad. i hate going outside no one treats me with respect. i went out cycling and some guy hit me on the arm for no reason. i smashed my bike and helmet cos i was angry and threw my ipod into the ocean. im on on 200mg/day of 5 different anti depressants im sick of taking them. i flushed them all down the toilet. ive been to 2 psychologists and a psychiatrist. i hate the way i look. i have no money. never had a girlfriend. im going to live with my dad until he dies then when im homeless ill have no choice but to kill myself. my dad is about 58 years old so i guess i got another 20 years or so. im sick of being jealous of everyone. i know if i had a friend i would also compare and compete with them. im not good at anything. i have no education and no skills. i never finished high school. im ugly and weak. hopefully ill get struck by lightning or cancer and die. i dont want to kill myself but i cant live anymore. no one has it worse than me. i sleep 4 hours a day.
1497,Looking for just 1 reason to live,"Hello everyone,"
1498,Going... going... going...,I know I haven't been online here for awhile. I also know I don't deserve to post here after just up and leaving... I didn't mean to though. My health issues nearly killed me and my husband has restricted my time on the computer.
1499,"Well, at least no one knows","Well, I guess I just learned the consequence for being spontaneous. Last night I decided to to just get it over with, so I just gabbed what I could find. Unfortunately, there were only 21 pills left, but I figured it would be enough, given that you're not supposed to exceed 8 over the course a day. So, I got myself comfortable and downed them all. Finally, I went to be for, what I thought, would be the last time. I guess you can imagine how I felt when I woke up this morning. It took a second to realize my situation. My brain was/is still foggy from the pills. I can't believe I'm still here. I was so close, and so ready for an end. Damn it."
1500,Can it really get better?,"That is what people say, it will get better. It never gets better, it gets worse everyday. I can't handle this loneliness anymore. If it doesn't kill me I will. I cannot handle waking up so alone one more time. I have no hope and I lost my desire to do anything. It won't get better. I won't be loved. I was going to say I'm sure people are sick of me whining but I don't even care anymore. What is there to care about?"
1501,suicide texts,if someone texts you theyre going to kill themselves waht are you obligated to do? What's the law?
1502,I'm scared my Dad will commit suicide,"My dad is driving my family crazy and I think he is at risk of suicide. He has been an alcoholic his whole life and suffers from depression; he is addicted to codeine and smokes pot. He has attempted to overdose on prescription pills in the past. Before I was born, he even poured petrol over himself and threatened to set himself on fire on the front lawn when he and my mum were arguing. He has been to Alcoholics Anonymous, seen counselors, doctors, been on and off antidepressants etc… but nothing seems to help because he doesn’t have the drive to help himself. He can not handle responsibility of any kind; he doesn’t even open his mail (even from his parents overseas!!)"
1503,Going.,I don't feel anything but sadness. I can't think of any good reason why I should stay here. I just want all the hurt to stop.
1504,She'll get me killed,"Pain inside my brain,"
1505,I'm just gonna go.,i think im gonna go
1506,I finally did it...DEAD,"Good, now that I have your attention let me introduce myself."
1507,All I can think about lately is ending it.,"I used to be encompassed by the romanticism of christianity. It's who I was. Simply an identity. But now as I have drawn my self far from that which I believe was simply a lie, I'm even more lost than I was before. I wake up everyday, not wanting to get out of my bed. Thinking, what's the point of going to school today? What's the purpose of all of this journey b.s. people tell me. ""Life doesn't have an end game, it's the journey they say"" Well what if my journey is miserable? What if I once always held a purpose that I believed I thought I had in the world close to me, and now I don't ever see that purpose coming to fruition or even real, any longer? If everyone dies at sometime, be it at a young age, middle age, or old age, then what am I waiting for if I'm so miserable where I am now? Until I can be old and miserable? I don't see a point in living any longer. I'm so tired of the adage: a few moments of happiness are worth living. That's completely untrue. I never remember the times I was happy. In moments of hurt and pain all I can think of is that hurt, that pain. This idiotic universe has young children that starve to death everyday and I'm able to have food at my whim, yet I'm still unhappy, it makes me want to end my life so I can't stop feeling so guilty for this self-centered view I have, an outlook I sometimes think I can change but then realize that it's way too hard, maybe even impossible to change what is essentially a human. I don't see what I have to offer the world anymore. Or what it has to offer me. I'm indelibly invaluable just like every other human being on earth and deserve to feel more than just a wash cloth that my friends, family, neighbors, and strangers can use. I'm a selfish, eighty-dimensional, vile human being that just wants to be eliminated. I find myself wishing to get cancer or die by getting run over so I will allow the universe, God, mother nature, whom ever the a-hole may be to continue to step over me, just to not break rank because I feel beaten. Beaten down by the world. Where do I turn to now? Religion? That's failed me. God? He/She has failed me? Family, friends? They've failed me. Myself? I've failed me. Who; then? Only one entity. The one who is so FAIR, so JUST, so BLIND, yet so BEAUTIFUL. Death. Death, herself. The only thing I know I can count on. I don't know why I'm writing in this forum I stumbled on. But I know I need help or I'm as good as dead. I can't even stop myself from crying right now. I haven't attempted suicide before. But, if you knew me, then you'd know I'm not one to ""attempt"" something, I would rather get it done the first time if i'm even gonna try..."
